CAPEC ID: 1, Entry ID: 1574.010
CAPEC ID: 11, Entry ID: 1036.006
CAPEC ID: 112, Entry ID: 1110
CAPEC ID: 114, Entry ID: 1548
CAPEC ID: 115, Entry ID: 1548
CAPEC ID: 122, Entry ID: 1548
CAPEC ID: 125, Entry ID: 1498.001
CAPEC ID: 125, Entry ID: 1499
CAPEC ID: 127, Entry ID: 1083
CAPEC ID: 13, Entry ID: 1562.003
CAPEC ID: 13, Entry ID: 1574.006
CAPEC ID: 13, Entry ID: 1574.007
CAPEC ID: 130, Entry ID: 1499.003
CAPEC ID: 131, Entry ID: 1499
CAPEC ID: 132, Entry ID: 1547.009
CAPEC ID: 141, Entry ID: 1557.002
CAPEC ID: 142, Entry ID: 1584.002
CAPEC ID: 148, Entry ID: 1491
CAPEC ID: 150, Entry ID: 1003
CAPEC ID: 150, Entry ID: 1119
CAPEC ID: 150, Entry ID: 1213
CAPEC ID: 150, Entry ID: 1530
CAPEC ID: 150, Entry ID: 1555
CAPEC ID: 150, Entry ID: 1602
CAPEC ID: 158, Entry ID: 1040
CAPEC ID: 158, Entry ID: 1111
CAPEC ID: 159, Entry ID: 1574.008
CAPEC ID: 163, Entry ID: 1534
CAPEC ID: 163, Entry ID: 1566.001
CAPEC ID: 163, Entry ID: 1566.002
CAPEC ID: 163, Entry ID: 1566.003
CAPEC ID: 163, Entry ID: 1598.001
CAPEC ID: 163, Entry ID: 1598.002
CAPEC ID: 163, Entry ID: 1598.003
CAPEC ID: 165, Entry ID: 1036.003
CAPEC ID: 169, Entry ID: 1217
CAPEC ID: 169, Entry ID: 1592
CAPEC ID: 169, Entry ID: 1595
CAPEC ID: 17, Entry ID: 1574.005
CAPEC ID: 17, Entry ID: 1574.010
CAPEC ID: 177, Entry ID: 1036
CAPEC ID: 180, Entry ID: 1574.010
CAPEC ID: 186, Entry ID: 1195.002
CAPEC ID: 187, Entry ID: 1072
CAPEC ID: 19, Entry ID: 1027.009
CAPEC ID: 19, Entry ID: 1546.004
CAPEC ID: 19, Entry ID: 1546.016
CAPEC ID: 191, Entry ID: 1552.001
CAPEC ID: 196, Entry ID: 1134.002
CAPEC ID: 196, Entry ID: 1134.003
CAPEC ID: 196, Entry ID: 1606
CAPEC ID: 2, Entry ID: 1531
CAPEC ID: 203, Entry ID: 1112
CAPEC ID: 203, Entry ID: 1647
CAPEC ID: 204, Entry ID: 1005
CAPEC ID: 206, Entry ID: 1553.002
CAPEC ID: 21, Entry ID: 1134
CAPEC ID: 21, Entry ID: 1528
CAPEC ID: 21, Entry ID: 1539
CAPEC ID: 227, Entry ID: 1499
CAPEC ID: 233, Entry ID: 1548
CAPEC ID: 25, Entry ID: 1499.004
CAPEC ID: 251, Entry ID: 1055
CAPEC ID: 267, Entry ID: 1027
CAPEC ID: 268, Entry ID: 1070
CAPEC ID: 268, Entry ID: 1562.002
CAPEC ID: 268, Entry ID: 1562.003
CAPEC ID: 268, Entry ID: 1562.008
CAPEC ID: 270, Entry ID: 1547.001
CAPEC ID: 270, Entry ID: 1547.014
CAPEC ID: 292, Entry ID: 1018
CAPEC ID: 295, Entry ID: 1124
CAPEC ID: 30, Entry ID: 1055.003
CAPEC ID: 300, Entry ID: 1046
CAPEC ID: 309, Entry ID: 1016
CAPEC ID: 309, Entry ID: 1049
CAPEC ID: 309, Entry ID: 1590
CAPEC ID: 31, Entry ID: 1539
CAPEC ID: 312, Entry ID: 1082
CAPEC ID: 313, Entry ID: 1082
CAPEC ID: 35, Entry ID: 1027.006
CAPEC ID: 35, Entry ID: 1027.009
CAPEC ID: 35, Entry ID: 1564.009
CAPEC ID: 37, Entry ID: 1005
CAPEC ID: 37, Entry ID: 1552.004
CAPEC ID: 38, Entry ID: 1574.007
CAPEC ID: 38, Entry ID: 1574.009
CAPEC ID: 383, Entry ID: 1056.004
CAPEC ID: 407, Entry ID: 1589
CAPEC ID: 438, Entry ID: 1195
CAPEC ID: 439, Entry ID: 1195
CAPEC ID: 440, Entry ID: 1195.003
CAPEC ID: 440, Entry ID: 1200
CAPEC ID: 442, Entry ID: 1195.001
CAPEC ID: 442, Entry ID: 1195.002
CAPEC ID: 443, Entry ID: 1195.002
CAPEC ID: 443, Entry ID: 1195.003
CAPEC ID: 445, Entry ID: 1195.001
CAPEC ID: 446, Entry ID: 1195
CAPEC ID: 448, Entry ID: 1027.009
CAPEC ID: 457, Entry ID: 1091
CAPEC ID: 457, Entry ID: 1092
CAPEC ID: 464, Entry ID: 1606.001
CAPEC ID: 465, Entry ID: 1090.001
CAPEC ID: 469, Entry ID: 1499.002
CAPEC ID: 471, Entry ID: 1574.001
CAPEC ID: 471, Entry ID: 1574.004
CAPEC ID: 471, Entry ID: 1574.008
CAPEC ID: 473, Entry ID: 1036.001
CAPEC ID: 473, Entry ID: 1553.002
CAPEC ID: 474, Entry ID: 1552.004
CAPEC ID: 478, Entry ID: 1574.011
CAPEC ID: 478, Entry ID: 1543.003
CAPEC ID: 479, Entry ID: 1553.004
CAPEC ID: 480, Entry ID: 1611
CAPEC ID: 481, Entry ID: 1090.004
CAPEC ID: 482, Entry ID: 1498.001
CAPEC ID: 482, Entry ID: 1499.001
CAPEC ID: 482, Entry ID: 1499.002
CAPEC ID: 485, Entry ID: 1552.004
CAPEC ID: 488, Entry ID: 1499.002
CAPEC ID: 489, Entry ID: 1499.002
CAPEC ID: 49, Entry ID: 1110.001
CAPEC ID: 490, Entry ID: 1498.002
CAPEC ID: 497, Entry ID: 1083
CAPEC ID: 504, Entry ID: 1036.004
CAPEC ID: 509, Entry ID: 1558.003
CAPEC ID: 511, Entry ID: 1195.001
CAPEC ID: 516, Entry ID: 1195.003
CAPEC ID: 520, Entry ID: 1195.003
CAPEC ID: 522, Entry ID: 1195.003
CAPEC ID: 523, Entry ID: 1195.002
CAPEC ID: 528, Entry ID: 1499.002
CAPEC ID: 528, Entry ID: 1498.001
CAPEC ID: 531, Entry ID: 1195.003
CAPEC ID: 532, Entry ID: 1495
CAPEC ID: 532, Entry ID: 1542.001
CAPEC ID: 537, Entry ID: 1195.003
CAPEC ID: 538, Entry ID: 1195.001
CAPEC ID: 539, Entry ID: 1195.003
CAPEC ID: 541, Entry ID: 1592.002
CAPEC ID: 542, Entry ID: 1587.001
CAPEC ID: 542, Entry ID: 1027
CAPEC ID: 543, Entry ID: 1036.005
CAPEC ID: 545, Entry ID: 1005
CAPEC ID: 545, Entry ID: 1555.001
CAPEC ID: 55, Entry ID: 1110.002
